SetID,Number,Variant,YearFrom,Category,Theme,ThemeGroup,Subtheme,SetName,Image,ImageFilename,USRetailPrice,UKRetailPrice,CARetailPrice,DERetailPrice,USDateAdded,USDateRemoved,Pieces,Minifigs,MinifigNumbers,PackagingType,Availability,USItemNumber,EUItemNumber,EAN,UPC,Width,Height,Depth,Weight,ModelDimension1,ModelDimension2,ModelDimension3,AgeMin,AgeMax,OwnCount,WantCount,InstructionsCount,AdditionalImageCount,Released,Rating,BrickLinkSoldPriceNew,BrickLinkSoldPriceUsed,Designers,LaunchDate,ExitDate,Own,Want,QtyOwned,QtyOwnedNew,QtyOwnedUsed,QtyWanted,WantedPriority,,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,UserNotes
"28312","40358","1","2018","Normal","Promotional","Miscellaneous","Target","Bean There, Donut That","X","40358-1","19.99","","","","","","146","4","twn344,twn345,twn346,twn347,","Box","Retail - limited","6253791","","","673419306010","19","14","4.5","","","","","7","","5240","1158","1","0","X","30","15.8700","19.2500","Mel Caddick,","01/10/2018 00:00:00","31/12/2018 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"29573","40362","1","2019","Normal","Star Wars","Licensed","Promotional","Battle of Endor","X","40362-1","","","","","","","197","","","Box","LEGO exclusive","6257425","6257424","5702016390070","","26.2","14.1","4.8","","","","","","","7626","2977","2","4","X","0","38.8200","34.3800","Henrik Andersen,","04/10/2019 00:00:00","31/12/2019 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"29928","40370","1","2020","Normal","Promotional","Miscellaneous","Gift with Purchase","LEGO Trains 40th Anniversary Set","X","40370-1","19.99","17.99","26.99","","02/12/2020 00:00:00","01/03/2024 00:00:00","188","1","trn252,","Box","LEGO exclusive","6292424","6292423","5702016650150","673419321457","26","13.8","7.1","0.327","","","","9","","8950","1213","2","2","X","12","38.7900","20.3600","Mel Caddick,","01/03/2020 00:00:00","31/12/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30340","40391","1","2020","Normal","Brick Sketches","Licensed","Star Wars","First Order Stormtrooper","X","40391-1","16.99","14.99","19.99","19.99","16/07/2020 00:00:00","04/12/2021 00:00:00","151","","","Box","LEGO exclusive","6292469","6292468","5702016656787","","14.1","19.1","7.1","","13","9","3","8","","2427","572","7","4","X","0","13.2500","7.2800","Chris McVeigh,","15/07/2020 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30209","40407","1","2020","Normal","Star Wars","Licensed","Promotional","Death Star II Battle","X","40407-1","","","","","","","235","","","Box","LEGO exclusive","6292428","6292427","5702016656671","673419321471","26.2","14.1","4.8","","","","","8","","8968","2175","2","2","X","15","28.9300","18.9000","Henrik Andersen,","01/05/2020 00:00:00","31/12/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"30967","40416","1","2020","Normal","Seasonal","Miscellaneous","Christmas","Ice Skating Rink","X","40416-1","19.99","17.99","","19.99","","","304","2","hol216,hol217,","Box","LEGO exclusive","6301717","6301716","5702016720129","673419326070","26","13.9","7.2","0.376","","","","7","","11352","1189","2","3","X","0","22.3900","15.8600","Mel Caddick,","01/12/2020 00:00:00","31/12/2020 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"30341","40431","1","2020","Normal","Brick Sketches","Licensed","Star Wars","BB-8","X","40431-1","16.99","14.99","19.99","16.99","16/07/2020 00:00:00","08/07/2021 00:00:00","171","","","Box","LEGO exclusive","6309118","6309117","5702016762426","","14.1","19.1","7.1","","13","9","3","8","","2379","573","7","4","X","0","16.3700","10.0000","Chris McVeigh,","15/07/2020 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"31388","40449","1","2021","Normal","Seasonal","Miscellaneous","Easter","Easter Bunny's Carrot House","X","40449-1","","","","","","","232","","","Box","LEGO exclusive","6332026","6332025","5702016910261","673419338158","15.6","14","8.8","0.272","","","","8","","8928","574","2","2","X","10","14.9700","11.0600","Diego Sancho,Mel Caddick,","15/03/2021 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"31600","40451","1","2021","Normal","Star Wars","Licensed","Promotional","Tatooine Homestead","X","40451-1","16.99","14.99","","16.99","","","217","","","Box","LEGO exclusive","6332030","6332029","5702016910995","673419337427","26.2","14.1","4.8","","17","4","9","8","","10088","1942","2","5","X","9","23.6600","17.3900","Henrik Andersen,","01/05/2021 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"31992","40452","1","2021","Normal","Harry Potter","Licensed","Promotional","Hogwarts Gryffindor Dorms","X","40452-1","","","","","","","148","2","hp142,hp143,","Box","Promotional","6345452","6345447","","","26.2","14.1","6.1","","","","","8","","5648","2092","2","2","X","0","48.1700","41.3300","","25/10/2021 00:00:00","31/12/2021 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"31848","40478","1","2021","Normal","Disney","Licensed","Disney Parks","Mini Disney Castle","X","40478-1","39.99","34.99","54.99","39.99","05/12/2021 00:00:00","03/11/2025 00:00:00","567","1","dis057,","Box","LEGO exclusive","6347558","6347557","5702016995916","673419345798","19.1","26.2","9.1","0.553","21","14","13","12","","9896","1476","6","5","X","0","40.6800","24.0600","","01/10/2021 00:00:00","31/12/2026 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30934","40495","1","2021","Normal","BrickHeadz","Licensed","Wizarding World","Harry, Hermione, Ron & Hagrid","X","40495-1","24.99","21.99","34.99","24.99","05/06/2021 00:00:00","01/03/2024 00:00:00","466","","","Box","Retail","6347562","6347561","5702016995985","673419345545","26.2","14.1","7.2","","","","","10","","5762","995","8","5","X","0","32.2700","22.4500","","01/06/2021 00:00:00","31/12/2023 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"30935","40496","1","2021","Normal","BrickHeadz","Licensed","Wizarding World","Voldemort, Nagini & Bellatrix","X","40496-1","24.99","21.99","34.99","24.99","05/06/2021 00:00:00","19/02/2023 00:00:00","344","","","Box","Retail","6347573","6347570","5702016996012","","26.2","14.1","7.2","","","","","10","","5251","1043","6","5","X","0","26.0700","20.6200","","01/06/2021 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32469","40527","1","2022","Normal","Seasonal","Miscellaneous","Easter","Easter Chicks","X","40527-1","","","","","","","318","","","Box","LEGO exclusive","6380178","6380177","5702017166407","673419358774","14","12.2","9","0.213","","","","8","","6614","329","4","2","X","0","8.9500","9.4900","","25/03/2022 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
"32473","40531","1","2022","Normal","Star Wars","Licensed","Promotional","Lars Family Homestead Kitchen","X","40531-1","","","","","","","195","1","sw1208,","Box","LEGO exclusive","6380186","6380185","","673419359610","26.2","14.1","6.1","","","","","18","","11940","2124","2","2","X","4","30.7000","26.0000","","01/05/2022 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"32461","40547","1","2022","Normal","BrickHeadz","Licensed","Star Wars","Obi-Wan Kenobi & Darth Vader","X","40547-1","19.99","17.99","24.99","19.99","26/07/2022 00:00:00","03/11/2025 00:00:00","260","","","Box","Retail","6395700","6395699","5702017241791","673419365888","19.1","14.1","7.1","","","","","10","","8026","1195","4","8","X","0","19.7900","13.8400","","25/05/2022 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","","HOME"
"32242","40557","1","2022","Normal","Star Wars","Licensed","Episode V","Defense of Hoth","X","40557-1","14.99","13.49","18.99","14.99","27/01/2022 00:00:00","01/03/2024 00:00:00","64","3","sw1186,sw1187,sw1188,","Blister pack","LEGO exclusive","6393844","6393844","","673419364867","25","15","3.2","","","","","6","","11528","2669","1","5","X","8","18.3000","13.0100","Henrik Andersen,","01/01/2022 00:00:00","31/12/2022 00:00:00","X","","1","1","0","0","1","","","","","","","","","SAS"
"32241","40558","1","2022","Normal","Star Wars","Licensed","Episode II","Clone Trooper Command Station","X","40558-1","14.99","13.49","18.99","14.99","19/01/2022 00:00:00","11/01/2023 00:00:00","66","3","sw1146,sw1189,","Blister pack","LEGO exclusive","6382669","6382669","","673419359955","25","15","3.2","","8","7","7","6","","10306","3418","1","4","X","10","25.8600","17.2400","Henrik Andersen,","01/01/2022 00:00:00","31/12/2022 00:00:00","X","","2","2","0","0","1","","","","","","","","",""
"34213","40565","1","2022","Normal","Seasonal","Miscellaneous","Christmas","Santa's Workshop","X","40565-1","","","","","","","329","2","hol246a,hol295,","Box","LEGO exclusive","6395712","6395711","5702017241852","673419365949","26","14","6","0.35","","","","9","","6687","981","2","2","X","4","32.3300","25.0000","Kenneth Lylover,","01/12/2022 00:00:00","31/12/2022 00:00:00","X","","2","2","0","0","1","","","","","","","","","HOME"
"33919","40573","1","2022","Normal","Seasonal","Miscellaneous","Christmas","Christmas Tree","X","40573-1","44.99","39.99","54.99","44.99","18/10/2022 00:00:00","03/11/2025 00:00:00","784","","","Box","LEGO exclusive","6395728","6395727","5702017241937","673419366151","19","35.2","8.8","0.83","30","23","16","12","","9170","1138","5","5","X","1","37.1100","26.7000","Mel Caddick,","01/09/2022 00:00:00","31/12/2025 00:00:00","X","","1","1","0","0","1","","","","","","","","",""
